"ano","ranking","pais","chegadas_pais_ano","porcentagem"
1989,"1","Argentina","449544","0.3204"
1989,"2","Uruguai","146252","0.1043"
1989,"3","Estados Unidos","146194","0.1042"
1989,"4","Paraguai","83928","0.0598"
1989,"12","Chile","27643","0.0197"
1990,"1","Argentina","263606","0.2416"
1990,"2","Estados Unidos","120313","0.1103"
1990,"3","Uruguai","99685","0.0914"
1990,"4","Paraguai","65127","0.0597"
1990,"10","Chile","26260","0.0241"
1991,"1","Argentina","405334","0.3401"
1991,"2","Estados Unidos","112421","0.0943"
1991,"3","Uruguai","112041","0.0940"
1991,"4","Paraguai","68848","0.0578"
1991,"10","Chile","26423","0.0222"
1992,"1","Argentina","598344","0.4057"
1992,"2","Uruguai","153666","0.1042"
1992,"3","Estados Unidos","117801","0.0799"
1992,"4","Paraguai","71876","0.0487"
1992,"10","Chile","28037","0.0190"
1993,"1","Argentina","794766","0.5056"
1993,"2","Uruguai","150087","0.0955"
1993,"3","Estados Unidos","91471","0.0582"
1993,"4","Paraguai","77968","0.0496"
1993,"10","Chile","29640","0.0189"
1994,"1","Argentina","787117","0.4247"
1994,"2","Estados Unidos","164209","0.0886"
1994,"3","Uruguai","157327","0.0849"
1994,"4","Paraguai","93728","0.0506"
1994,"8","Chile","46058","0.0249"
1995,"1","Argentina","657943","0.3304"
1995,"2","Estados Unidos","224577","0.1128"
1995,"3","Uruguai","200423","0.1006"
1995,"5","Paraguai","90716","0.0456"
1995,"7","Chile","63900","0.0321"
1996,"1","Argentina","858189","0.3220"
1996,"2","Estados Unidos","356000","0.1336"
1996,"3","Uruguai","209334","0.0785"
1996,"5","Paraguai","118563","0.0445"
1996,"7","Chile","87153","0.0327"
1997,"1","Argentina","938973","0.3295"
1997,"2","Estados Unidos","402200","0.1411"
1997,"3","Uruguai","206468","0.0725"
1997,"4","Paraguai","146649","0.0515"
1997,"7","Chile","92233","0.0324"
1998,"1","Argentina","1467922","0.3047"
1998,"2","Estados Unidos","524093","0.1088"
1998,"3","Paraguai","451517","0.0937"
1998,"4","Uruguai","358836","0.0745"
1998,"7","Chile","159673","0.0331"
1999,"1","Argentina","1548570","0.3032"
1999,"2","Estados Unidos","559366","0.1095"
