"ranking","uf","total_uf","porcentagem"
"1","São Paulo","55828883","0.3620"
"2","Rio de Janeiro","30398472","0.1971"
"3","Rio Grande do Sul","24717910","0.1603"
"4","Paraná","19336058","0.1254"
"5","Santa Catarina","4633637","0.0300"
"6","Outras Unidades da Federação","4403387","0.0286"
"7","Bahia","3586203","0.0233"
"8","Pernambuco","2237328","0.0145"
"9","Mato Grosso do Sul","2129829","0.0138"
"10","Ceará","1883837","0.0122"
"11","Distrito Federal","1027432","0.0067"
"12","Rio Grande do Norte","1015035","0.0066"
"13","Amazonas","957302","0.0062"
"14","Minas Gerais","727261","0.0047"
"15","Pará","646863","0.0042"
"16","Amapá","252240","0.0016"
"17","Acre","231542","0.0015"
"18","Roraima","190596","0.0012"
