"ano","uf","total_chegadas_uf","ranking"
1989,"Rio de Janeiro","472445","1"
1989,"Rio Grande do Sul","422658","2"
1989,"São Paulo","183960","3"
1989,"Paraná","159779","4"
1989,"Outras Unidades da Federação","49562","5"
1989,"Pernambuco","34541","6"
1989,"Mato Grosso do Sul","32742","7"
1989,"Pará","16882","8"
1989,"Bahia","16867","9"
1989,"Amazonas","13032","10"
1989,"Distrito Federal","414","11"
1990,"Rio de Janeiro","438108","1"
1990,"Rio Grande do Sul","227529","2"
1990,"São Paulo","155945","3"
1990,"Paraná","125759","4"
1990,"Pernambuco","39053","5"
1990,"Outras Unidades da Federação","32494","6"
1990,"Mato Grosso do Sul","23555","7"
1990,"Pará","19178","8"
1990,"Bahia","16212","9"
1990,"Amazonas","11793","10"
1990,"Distrito Federal","1439","11"
1991,"Rio de Janeiro","408080","1"
1991,"Rio Grande do Sul","304375","2"
1991,"São Paulo","186704","3"
1991,"Paraná","127450","4"
1991,"Outras Unidades da Federação","48447","5"
1991,"Pernambuco","35713","6"
1991,"Mato Grosso do Sul","27774","7"
1991,"Bahia","22342","8"
1991,"Pará","18275","9"
1991,"Amazonas","11811","10"
1991,"Distrito Federal","927","11"
1992,"Rio de Janeiro","481983","1"
1992,"Rio Grande do Sul","394799","2"
1992,"São Paulo","251602","3"
1992,"Paraná","143145","4"
1992,"Outras Unidades da Federação","87821","5"
1992,"Pernambuco","36300","6"
1992,"Bahia","29126","7"
1992,"Mato Grosso do Sul","26892","8"
1992,"Amazonas","12558","9"
1992,"Pará","8497","10"
1992,"Distrito Federal","2135","11"
1993,"Rio Grande do Sul","595967","1"
1993,"Rio de Janeiro","361865","2"
1993,"São Paulo","221151","3"
1993,"Paraná","146492","4"
1993,"Outras Unidades da Federação","132377","5"
1993,"Pernambuco","48367","6"
1993,"Mato Grosso do Sul","26224","7"
1993,"Bahia","25026","8"
1993,"Pará","9490","9"
1993,"Distrito Federal","2974","10"
1993,"Amazonas","2007","11"
1994,"Rio Grande do Sul","528427","1"
1994,"Rio de Janeiro","429549","2"
1994,"São Paulo","410304","3"
1994,"Paraná","164504","4"
1994,"Outras Unidades da Federação","151136","5"
1994,"Bahia","68138","6"
1994,"Pernambuco","51307","7"
1994,"Mato Grosso do Sul","26399","8"
1994,"Amazonas","11835","9"
1994,"Pará","7828","10"
1994,"Distrito Federal","3874","11"
1995,"São Paulo","537841","1"
1995,"Rio de Janeiro","489907","2"
1995,"Rio Grande do Sul","460229","3"
1995,"Outras Unidades da Federação","182066","4"
1995,"Paraná","154493","5"
1995,"Bahia","64254","6"
