"uf","via_de_acesso","total_chegadas","porcentagem"
"Acre","Terrestre","231345","0.9991"
"Acre","Fluvial","147","0.0006"
"Acre","Aérea","50","0.0002"
"Amapá","Fluvial","160793","0.6375"
"Amapá","Terrestre","90947","0.3606"
"Amapá","Aérea","500","0.0020"
"Amapá","Marítima","0","0.0000"
"Amazonas","Aérea","655551","0.6848"
"Amazonas","Terrestre","294650","0.3078"
"Amazonas","Fluvial","7101","0.0074"
"Bahia","Aérea","3421170","0.9540"
"Bahia","Marítima","165033","0.0460"
"Ceará","Aérea","1792194","0.9514"
"Ceará","Marítima","91643","0.0486"
"Distrito Federal","Aérea","1027432","1.0000"
"Mato Grosso do Sul","Terrestre","2107092","0.9893"
"Mato Grosso do Sul","Aérea","20390","0.0096"
"Mato Grosso do Sul","Fluvial","2347","0.0011"
"Minas Gerais","Aérea","727261","1.0000"
"Outras Unidades da Federação","Terrestre","2344625","0.5325"
"Outras Unidades da Federação","Aérea","1643556","0.3732"
"Outras Unidades da Federação","Marítima","226393","0.0514"
"Outras Unidades da Federação","Fluvial","188813","0.0429"
"Pará","Aérea","546609","0.8450"
"Pará","Fluvial","100226","0.1549"
"Pará","Marítima","28","0.0000"
"Pará","Terrestre","0","0.0000"
"Paraná","Terrestre","18362415","0.9496"
"Paraná","Aérea","862954","0.0446"
"Paraná","Marítima","66678","0.0034"
"Paraná","Fluvial","44011","0.0023"
"Pernambuco","Aérea","1939068","0.8667"
"Pernambuco","Marítima","298260","0.1333"
"Rio de Janeiro","Aérea","29521535","0.9712"
"Rio de Janeiro","Marítima","876937","0.0288"
"Rio Grande do Norte","Aérea","1000882","0.9861"
"Rio Grande do Norte","Marítima","14153","0.0139"
"Rio Grande do Sul","Terrestre","21634408","0.8753"
"Rio Grande do Sul","Aérea","2013036","0.0814"
"Rio Grande do Sul","Fluvial","1009906","0.0409"
"Rio Grande do Sul","Marítima","60560","0.0025"
"Roraima","Terrestre","189549","0.9945"
"Roraima","Aérea","936","0.0049"
"Roraima","Fluvial","111","0.0006"
"Santa Catarina","Aérea","2300295","0.4964"
"Santa Catarina","Terrestre","2030775","0.4383"
"Santa Catarina","Marítima","241437","0.0521"
"Santa Catarina","Fluvial","61130","0.0132"
"São Paulo","Aérea","55401929","0.9924"
"São Paulo","Marítima","426954","0.0076"
