"via_de_acesso","uf","total_chegadas","porcentagem"
"Aérea","São Paulo","55401929","0.5385"
"Aérea","Rio de Janeiro","29521535","0.2870"
"Aérea","Bahia","3421170","0.0333"
"Aérea","Santa Catarina","2300295","0.0224"
"Aérea","Rio Grande do Sul","2013036","0.0196"
"Aérea","Pernambuco","1939068","0.0188"
"Aérea","Ceará","1792194","0.0174"
"Aérea","Outras Unidades da Federação","1643556","0.0160"
"Aérea","Distrito Federal","1027432","0.0100"
"Aérea","Rio Grande do Norte","1000882","0.0097"
"Aérea","Paraná","862954","0.0084"
"Aérea","Minas Gerais","727261","0.0071"
"Aérea","Amazonas","655551","0.0064"
"Aérea","Pará","546609","0.0053"
"Aérea","Mato Grosso do Sul","20390","0.0002"
"Aérea","Roraima","936","0.0000"
"Aérea","Amapá","500","0.0000"
"Aérea","Acre","50","0.0000"
"Fluvial","Rio Grande do Sul","1009906","0.6414"
"Fluvial","Outras Unidades da Federação","188813","0.1199"
"Fluvial","Amapá","160793","0.1021"
"Fluvial","Pará","100226","0.0637"
"Fluvial","Santa Catarina","61130","0.0388"
"Fluvial","Paraná","44011","0.0280"
"Fluvial","Amazonas","7101","0.0045"
"Fluvial","Mato Grosso do Sul","2347","0.0015"
"Fluvial","Acre","147","0.0001"
"Fluvial","Roraima","111","0.0001"
"Marítima","Rio de Janeiro","876937","0.3553"
"Marítima","São Paulo","426954","0.1730"
"Marítima","Pernambuco","298260","0.1208"
"Marítima","Santa Catarina","241437","0.0978"
"Marítima","Outras Unidades da Federação","226393","0.0917"
"Marítima","Bahia","165033","0.0669"
"Marítima","Ceará","91643","0.0371"
"Marítima","Paraná","66678","0.0270"
"Marítima","Rio Grande do Sul","60560","0.0245"
"Marítima","Rio Grande do Norte","14153","0.0057"
"Marítima","Pará","28","0.0000"
"Marítima","Amapá","0","0.0000"
"Terrestre","Rio Grande do Sul","21634408","0.4575"
"Terrestre","Paraná","18362415","0.3883"
"Terrestre","Outras Unidades da Federação","2344625","0.0496"
"Terrestre","Mato Grosso do Sul","2107092","0.0446"
"Terrestre","Santa Catarina","2030775","0.0429"
"Terrestre","Amazonas","294650","0.0062"
"Terrestre","Acre","231345","0.0049"
"Terrestre","Roraima","189549","0.0040"
"Terrestre","Amapá","90947","0.0019"
"Terrestre","Pará","0","0.0000"
