"ano","chegadas"
1989,"1402882"
1990,"1091065"
1991,"1191898"
1992,"1474858"
1993,"1571940"
1994,"1853301"
1995,"1991416"
1996,"2665508"
1997,"2849749"
1998,"4818084"
1999,"5107169"
2000,"5313463"
2001,"4772575"
2002,"3784898"
2003,"4132847"
2004,"4793703"
2005,"5358170"
2006,"5017251"
2007,"5025834"
2008,"5050099"
2009,"4802217"
2010,"5161379"
2011,"5433354"
2012,"5676843"
2013,"5813342"
2014,"6429852"
2015,"6305838"
2016,"6546696"
2017,"6588770"
2018,"6621376"
2019,"6353141"
2020,"2146435"
2021,"745871"
2022,"3630031"
2023,"5908341"
2024,"6773619"
